Order_ID,Delivery_Time,Order_Value,Items_Count,Distance_km,Delivery_Charge,Surge_Pricing,Time_Slot,Warehouse_Location,Rider_Rating,Customer_Rating,Inventory_Issue,Payment_Method,Order_Status,Delivery_Efficiency,Avg_Order_Value,Late_Delivery,Cancelled,Net_Revenue,Order_Size,Distance_Category
4,19.0,496,2.0,12.0,64.0,1,Morning,South Hub,4.0,4.0,Yes,UPI,Cancelled,0.631578947368421,248.0,0,1,432.0,Low,Far
11,27.0,1069,15.0,9.0,113.0,0,Afternoon,North Hub,3.0,2.0,Yes,UPI,Delivered,0.3333333333333333,71.26666666666667,1,0,956.0,Medium,Medium
14,28.0,1179,3.0,13.0,51.0,0,Late Night,North Hub,4.0,2.0,No,UPI,Delivered,0.4642857142857143,393.0,1,0,1128.0,Medium,Far
16,40.0,130,17.0,14.0,53.0,0,Afternoon,South Hub,4.0,2.0,No,Card,Delivered,0.35,7.647058823529412,1,0,77.0,Low,Far
20,26.0,187,18.0,12.0,20.0,0,Late Night,South Hub,5.0,3.0,Yes,UPI,Delivered,0.46153846153846156,10.38888888888889,1,0,167.0,Low,Far
21,57.0,233,17.0,11.0,45.0,1,Morning,South Hub,4.0,3.0,Yes,COD,Delivered,0.19298245614035087,13.705882352941176,1,0,188.0,Low,Far
22,6.0,1474,3.0,11.0,133.0,0,Evening,North Hub,2.0,5.0,Yes,UPI,Cancelled,1.8333333333333333,491.3333333333333,0,1,1341.0,High,Far
30,16.0,1847,5.0,13.0,5.0,0,Late Night,South Hub,3.0,5.0,No,UPI,Delivered,0.8125,369.4,0,0,1842.0,High,Far
34,29.0,175,3.0,3.0,74.0,0,Afternoon,Central Hub,1.0,5.0,Yes,COD,Delivered,0.10344827586206896,58.333333333333336,1,0,101.0,Low,Near
40,19.0,810,9.0,8.0,15.0,0,Afternoon,North Hub,1.0,3.0,Yes,UPI,Delivered,0.42105263157894735,90.0,0,0,795.0,Medium,Medium
41,51.0,1736,15.0,10.0,67.0,0,Afternoon,South Hub,5.0,5.0,Yes,Card,Cancelled,0.19607843137254902,115.73333333333333,1,1,1669.0,High,Medium
43,48.0,897,5.0,8.0,47.0,0,Morning,South Hub,4.0,2.0,Yes,UPI,Delivered,0.16666666666666666,179.4,1,0,850.0,Medium,Medium
47,7.0,1593,6.0,3.0,138.0,0,Late Night,South Hub,4.0,1.0,Yes,Card,Cancelled,0.42857142857142855,265.5,0,1,1455.0,High,Near
48,41.0,949,8.0,1.0,100.0,1,Morning,North Hub,2.0,1.0,Yes,UPI,Delivered,0.024390243902439025,118.625,1,0,849.0,Medium,Near
49,55.0,409,5.0,4.0,88.0,0,Morning,South Hub,1.0,2.0,Yes,UPI,Delivered,0.07272727272727272,81.8,1,0,321.0,Low,Near
52,13.0,330,6.0,10.0,54.0,0,Morning,South Hub,1.0,3.0,No,Card,Delivered,0.7692307692307693,55.0,0,0,276.0,Low,Medium
53,43.0,1268,5.0,2.0,101.0,0,Morning,South Hub,4.0,4.0,No,UPI,Delivered,0.046511627906976744,253.6,1,0,1167.0,Medium,Near
61,30.0,1124,13.0,13.0,124.0,0,Evening,North Hub,4.0,3.0,No,UPI,Cancelled,0.43333333333333335,86.46153846153847,1,1,1000.0,Medium,Far
76,44.0,395,9.0,4.0,83.0,1,Late Night,South Hub,5.0,2.0,Yes,UPI,Delivered,0.09090909090909091,43.888888888888886,1,0,312.0,Low,Near
84,33.0,843,7.0,6.0,35.0,0,Evening,North Hub,4.0,3.0,Yes,COD,Cancelled,0.18181818181818182,120.42857142857143,1,1,808.0,Medium,Medium
85,22.0,298,5.0,14.0,100.0,0,Late Night,East Hub,4.0,4.0,Yes,UPI,Delivered,0.6363636363636364,59.6,1,0,198.0,Low,Far
86,30.0,96,11.0,4.0,103.0,0,Evening,South Hub,2.0,2.0,Yes,Card,Delivered,0.13333333333333333,8.727272727272727,1,0,-7.0,Low,Near
87,48.0,1194,13.0,13.0,65.0,0,Morning,Central Hub,5.0,2.0,Yes,UPI,Delivered,0.2708333333333333,91.84615384615384,1,0,1129.0,Medium,Far
93,52.0,880,7.0,5.0,92.0,1,Late Night,West Hub,5.0,4.0,Yes,Card,Delivered,0.09615384615384616,125.71428571428571,1,0,788.0,Medium,Near
108,29.0,105,2.0,1.0,112.0,0,Afternoon,South Hub,4.0,5.0,Yes,COD,Delivered,0.034482758620689655,52.5,1,0,-7.0,Low,Near
117,13.0,715,2.0,4.0,81.0,0,Evening,North Hub,1.0,3.0,Yes,Card,Cancelled,0.3076923076923077,357.5,0,1,634.0,Medium,Near
129,37.0,1581,1.0,10.0,104.0,0,Morning,East Hub,3.0,3.0,Yes,UPI,Cancelled,0.2702702702702703,1581.0,1,1,1477.0,High,Medium
135,32.0,1088,4.0,13.0,67.0,0,Morning,Central Hub,2.0,3.0,No,Card,Cancelled,0.40625,272.0,1,1,1021.0,Medium,Far
140,38.0,763,11.0,3.0,75.0,0,Late Night,North Hub,1.0,3.0,Yes,UPI,Delivered,0.07894736842105263,69.36363636363636,1,0,688.0,Medium,Near
141,37.0,1112,1.0,14.0,25.0,1,Evening,West Hub,1.0,3.0,Yes,UPI,Delivered,0.3783783783783784,1112.0,1,0,1087.0,Medium,Far
146,41.0,175,11.0,5.0,70.0,0,Late Night,North Hub,3.0,3.0,No,Card,Delivered,0.12195121951219512,15.909090909090908,1,0,105.0,Low,Near
147,39.0,861,2.0,4.0,39.0,0,Morning,East Hub,4.0,5.0,Yes,UPI,Delivered,0.10256410256410256,430.5,1,0,822.0,Medium,Near
149,44.0,194,2.0,4.0,148.0,0,Morning,South Hub,5.0,2.0,No,UPI,Delivered,0.09090909090909091,97.0,1,0,46.0,Low,Near
150,26.0,1598,4.0,7.0,131.0,0,Late Night,South Hub,1.0,2.0,No,COD,Cancelled,0.2692307692307692,399.5,1,1,1467.0,High,Medium
154,39.0,1467,9.0,1.0,142.0,0,Morning,Central Hub,2.0,2.0,Yes,UPI,Delivered,0.02564102564102564,163.0,1,0,1325.0,High,Near
157,18.0,158,11.0,9.0,135.0,0,Evening,West Hub,1.0,1.0,No,COD,Delivered,0.5,14.363636363636363,0,0,23.0,Low,Medium
161,30.0,160,14.0,12.0,111.0,0,Morning,South Hub,2.0,5.0,Yes,UPI,Delivered,0.4,11.428571428571429,1,0,49.0,Low,Far
163,18.0,83,11.0,7.0,45.0,0,Late Night,South Hub,4.0,1.0,No,UPI,Cancelled,0.3888888888888889,7.545454545454546,0,1,38.0,Low,Medium
169,30.0,1627,16.0,10.0,23.0,0,Evening,South Hub,3.0,1.0,Yes,UPI,Cancelled,0.3333333333333333,101.6875,1,1,1604.0,High,Medium
172,55.0,1591,6.0,12.0,23.0,0,Afternoon,South Hub,5.0,1.0,Yes,UPI,Delivered,0.21818181818181817,265.1666666666667,1,0,1568.0,High,Far
175,53.0,1393,3.0,4.0,66.0,0,Evening,North Hub,4.0,2.0,Yes,UPI,Delivered,0.07547169811320754,464.3333333333333,1,0,1327.0,High,Near
203,48.0,592,15.0,4.0,29.0,1,Late Night,South Hub,2.0,1.0,Yes,COD,Delivered,0.08333333333333333,39.46666666666667,1,0,563.0,Low,Near
210,29.0,1395,9.0,9.0,117.0,0,Afternoon,West Hub,2.0,5.0,Yes,Card,Delivered,0.3103448275862069,155.0,1,0,1278.0,High,Medium
211,43.0,517,6.0,7.0,38.0,0,Morning,South Hub,5.0,5.0,Yes,COD,Delivered,0.16279069767441862,86.16666666666667,1,0,479.0,Low,Medium
217,56.0,167,11.0,6.0,58.0,0,Morning,South Hub,3.0,4.0,Yes,UPI,Delivered,0.10714285714285714,15.181818181818182,1,0,109.0,Low,Medium
226,41.0,764,6.0,2.0,110.0,0,Morning,North Hub,1.0,1.0,Yes,UPI,Cancelled,0.04878048780487805,127.33333333333333,1,1,654.0,Medium,Near
229,46.0,1508,1.0,7.0,100.0,0,Late Night,South Hub,3.0,4.0,Yes,Card,Delivered,0.15217391304347827,1508.0,1,0,1408.0,High,Medium
238,56.0,773,14.0,4.0,14.0,0,Morning,South Hub,3.0,4.0,No,Card,Delivered,0.07142857142857142,55.214285714285715,1,0,759.0,Medium,Near
245,6.0,139,18.0,8.0,56.0,0,Morning,South Hub,3.0,4.0,Yes,Card,Delivered,1.3333333333333333,7.722222222222222,0,0,83.0,Low,Medium
249,53.0,1878,1.0,8.0,69.0,1,Late Night,South Hub,4.0,1.0,No,UPI,Delivered,0.1509433962264151,1878.0,1,0,1809.0,High,Medium
260,37.0,310,18.0,12.0,64.0,1,Morning,South Hub,4.0,4.0,Yes,Card,Cancelled,0.32432432432432434,17.22222222222222,1,1,246.0,Low,Far
265,48.0,62,17.0,5.0,95.0,0,Morning,South Hub,3.0,2.0,No,UPI,Delivered,0.10416666666666667,3.6470588235294117,1,0,-33.0,Low,Near
276,42.0,1993,12.0,12.0,131.0,0,Morning,South Hub,1.0,5.0,Yes,COD,Delivered,0.2857142857142857,166.08333333333334,1,0,1862.0,High,Far
281,10.0,1890,15.0,13.0,82.0,0,Afternoon,West Hub,3.0,3.0,Yes,Card,Delivered,1.3,126.0,0,0,1808.0,High,Far
285,20.0,383,16.0,8.0,12.0,0,Morning,North Hub,5.0,3.0,Yes,UPI,Delivered,0.4,23.9375,0,0,371.0,Low,Medium
287,13.0,425,6.0,1.0,146.0,1,Late Night,South Hub,4.0,5.0,Yes,UPI,Delivered,0.07692307692307693,70.83333333333333,0,0,279.0,Low,Near
289,20.0,1210,9.0,8.0,122.0,1,Morning,North Hub,3.0,2.0,Yes,UPI,Delivered,0.4,134.44444444444446,0,0,1088.0,Medium,Medium
292,24.0,562,11.0,11.0,147.0,1,Late Night,North Hub,2.0,1.0,Yes,Card,Delivered,0.4583333333333333,51.09090909090909,1,0,415.0,Low,Far
295,30.0,967,12.0,6.0,1.0,1,Morning,South Hub,4.0,1.0,Yes,UPI,Cancelled,0.2,80.58333333333333,1,1,966.0,Medium,Medium
298,24.0,1422,19.0,12.0,114.0,0,Morning,South Hub,2.0,1.0,No,UPI,Delivered,0.5,74.84210526315789,1,0,1308.0,High,Far
