Order_ID,Delivery_Time,Order_Value,Items_Count,Distance_km,Delivery_Charge,Surge_Pricing,Time_Slot,Warehouse_Location,Rider_Rating,Customer_Rating,Inventory_Issue,Payment_Method,Order_Status
1,43,1408,14,8,103,0,Morning,Central Hub,7,2,Unknown,Unknown,Unknown
2,56,908,10,14,67,0,Afternoon,??,,4,,Card,Unknown
3,33,484,11,-3,94,0,Afternoon,Unknown,5,4,Unknown,UPI,Delivered
4,19,496,2,12,64,1,Morning,South Hub,4,4,Yes,Crypto?,Cancelled
5,47,1381,9,14,48,,Afternoon,South Hub,7,,No,Card,Delivered
6,12,298,17,50,51,0,Late Night,??,5,2,Unknown,UPI,Delivered
7,25,215,3,3,101,0,Morning,Unknown,5,,Unknown,Unknown,Cancelled
8,43,1554,6,7,56,2,Late Night,,1,8,No,,Delivered
9,-10,1033,5,50,46,1,Afternoon,,2,3,Yes,COD,Cancelled
10,23,1408,5,12,25,1,Morning,South Hub,5,10,Yes,Unknown,Cancelled
11,27,1069,15,9,113,,Afternoon,North Hub,3,2,Unknown,UPI,Delivered
12,15,591,17,,4,1,Morning,East Hub,2,10,,UPI,Delivered
13,15,808,9,-3,83,2,Afternoon,,4,5,Unknown,UPI,Unknown
14,28,1179,3,13,51,2,Late Night,North Hub,4,2,No,UPI,Delivered
15,57,1636,,8,104,,Late Night,East Hub,4,8,No,COD,Cancelled
16,40,130,17,14,53,2,Afternoon,South Hub,4,2,No,Card,Unknown
17,44,182,10,8,14,0,Morning,Central Hub,3,,Unknown,Crypto?,Cancelled
18,28,846,3,14,60,0,Evening,West Hub,7,3,Unknown,,Unknown
19,7,949,18,7,121,2,Late Night,West Hub,-1,-2,Yes,COD,Delivered
20,26,187,18,12,20,,Late Night,South Hub,5,3,,UPI,Delivered
21,57,233,17,11,45,1,??,,4,3,Unknown,COD,Delivered
22,6,1474,3,11,133,,Evening,North Hub,2,5,Yes,Unknown,Cancelled
23,28,1403,3,13,37,1,Afternoon,Central Hub,2,8,Unknown,Crypto?,Unknown
24,48,834,6,-3,61,2,Morning,??,5,10,Yes,UPI,Cancelled
25,34,1581,13,2,85,2,??,East Hub,7,8,Yes,,Unknown
26,42,1925,15,,77,0,Afternoon,South Hub,-1,-2,,UPI,Delivered
27,6,1033,9,-3,45,1,,Central Hub,7,5,Unknown,Crypto?,Cancelled
28,25,118,4,,140,,Late Night,Unknown,5,3,Yes,,Delivered
29,37,595,14,12,2,2,,Central Hub,,,No,Crypto?,Cancelled
30,16,1847,5,13,5,,Late Night,,3,5,No,,Delivered
31,-10,102,2,11,92,0,Late Night,Unknown,5,4,No,Card,Cancelled
32,26,1523,11,5,7,1,,East Hub,10,2,,Card,Cancelled
33,48,254,9,1,107,1,,Unknown,1,8,Yes,COD,Unknown
34,29,175,3,3,74,2,Afternoon,Central Hub,1,5,,COD,Delivered
35,53,1820,9,7,76,1,??,,7,4,Unknown,,Unknown
36,31,92,3,12,49,2,??,Unknown,5,10,Unknown,UPI,Unknown
37,46,1825,2,,10,0,,North Hub,5,-2,Yes,Unknown,Delivered
38,32,1956,12,5,94,1,Afternoon,,1,-2,No,Unknown,Cancelled
39,20,160,10,,69,2,??,North Hub,-1,3,Yes,UPI,Unknown
40,19,810,9,8,15,,Afternoon,North Hub,1,3,Yes,UPI,Delivered
41,51,1736,15,10,67,2,Afternoon,Unknown,5,5,Yes,Card,Cancelled
42,55,1256,8,0,98,1,Late Night,Unknown,-1,5,,Unknown,Unknown
43,48,897,5,8,47,0,??,??,4,2,Unknown,,Unknown
44,59,144,11,1,63,1,??,??,10,1,Yes,Crypto?,Unknown
45,56,1447,2,12,89,1,Late Night,Central Hub,,10,Yes,COD,Cancelled
46,120,1985,15,5,75,2,,,3,3,Yes,Crypto?,Unknown
47,7,1593,6,3,138,,Late Night,??,4,1,,Card,Cancelled
48,41,949,8,1,100,1,??,North Hub,2,1,,Unknown,Unknown
49,55,409,5,4,88,,??,??,1,2,,UPI,Delivered
50,11,949,16,8,17,2,,East Hub,10,,Yes,Unknown,Unknown
51,25,1769,18,3,18,,Late Night,Central Hub,1,,No,,Delivered
52,13,330,6,10,54,2,Morning,,1,3,No,Card,Delivered
53,43,1268,5,2,101,0,Morning,,4,4,No,UPI,Delivered
54,22,1937,16,11,117,,,West Hub,,2,Unknown,Crypto?,Cancelled
55,8,1268,13,10,133,,Late Night,,-1,2,Yes,,Delivered
56,29,716,5,14,3,0,Late Night,Central Hub,1,8,No,Crypto?,Unknown
57,18,142,13,7,107,,Afternoon,East Hub,7,1,No,COD,Cancelled
